name,desc,marker_type,notes
BCKG190Di,190BCKG,none,
Ba130Di,130Ba,none,
Bi209Di,209Bi_CD11b,type,
Ce140Di,140Ce_CD14,type,
Center,NA,none,
Dy161Di,161Dy_CD7,type,
Dy162Di,162Dy_IgM,type,
Dy163Di,163Dy_CCR7,type,
Dy164Di,164Dy_IkBa,state,
Er166Di,166Er_pNFkBp65,state,
Er167Di,167Er_CD38,type,
Er168Di,168Er_CD16,type,
Er170Di,170Er_Siglec1,type,unsure
Eu151Di,151Eu_CD123,type,
Eu153Di,153Eu_pSTAT1,state,
Event_length,NA,none,
Gd155Di,155Gd_CD27,type,
Gd156Di,156Gd_p38,state,
Gd158Di,158Gd_pSTAT3,state,
Gd160Di,160Gd_CD11c,type,
Ho165Di,165Ho_pCREB,state,
I127Di,127I,none,
In113Di,113In_CD66b,type,
In115Di,115In_Siglec8,type,unsure
Ir191Di,191Ir_DNA,none,
Ir193Di,193Ir_DNA,none,
Lu175Di,175Lu_CXCR3,type,
Nd142Di,142Nd_cleaved_caspase_3,state,
Nd143Di,143Nd_CD19,type,
Nd144Di,144Nd_pPLCg2,state,
Nd145Di,145Nd_CD4,type,
Nd146Di,146Nd_CD45RO,type,
Nd148Di,148Nd_IgA,type,
Nd150Di,150Nd_pSTAT5,state,
Offset,NA,none,
Pb208Di,208Pb,none,
Pd102Di,102Pd,none,
Pd104Di,104Pd_barcode,none,
Pd105Di,105Pd_barcode,none,
Pd106Di,106Pd_barcode,none,
Pd108Di,108Pd_barcode,none,
Pd110Di,110Pd_barcode,none,
Pr141Di,141Pr_CD127,type,
Pt194Di,194Pt_barcode,none,
Pt195Di,195Pt_CD3,type,
Pt196Di,196Pt_CD8,type,
Pt198Di,198Pt_CD45,type,
Residual,NA,none,
Rh103Di,103Rh_barcode,none,
Sm147Di,147Sm_CD20,type,
Sm149Di,149Sm_Syk,type,unsure
Sm152Di,152Sm_CD45RA,type,
Sm154Di,154Sm_CD1c,type,
Tb159Di,159Tb_pMAPKAPK2,state,
Tm169Di,169Tm_CD25,type,
Y89Di,89Y_CD15,type,
Yb171Di,171Yb_ZAP70_Syk,type,unsure
Yb172Di,172Yb_pS6,state,
Yb173Di,173Yb_IgD,type,
Yb174Di,174Yb_HLA-DR,type,
Yb176Di,176Yb_CD56,type,
Time,NA,none,
